id,t,d,wc_exp,bc_exp,edu,lnwage
39,5,2,0,4,10,6.7444715
39,6,2,0,5,10,7.8173838
39,7,2,0,6,10,
39,8,2,0,7,10,
39,9,4,0,7,10,
39,10,4,0,7,10,
39,11,4,0,7,10,
40,1,3,0,0,10,
40,2,3,0,0,11,
40,3,3,0,0,12,
40,4,3,0,0,13,
40,5,3,0,0,14,
40,6,1,1,0,14,
40,7,1,2,0,14,
40,8,2,2,1,14,8.9339275
40,9,2,2,2,14,10.859325
40,10,2,2,3,14,11.389202
40,11,3,2,3,15,
41,1,3,0,0,10,
41,2,3,0,0,11,
41,3,2,0,1,11,10.589972
41,4,1,1,1,11,
41,5,1,2,1,11,10.764794
41,6,1,3,1,11,
41,7,3,3,1,12,
41,8,3,3,1,13,
41,9,3,3,1,14,
41,10,3,3,1,15,
41,11,3,3,1,16,
42,1,3,0,0,9,
42,2,3,0,0,10,
42,3,3,0,0,11,
42,4,3,0,0,12,
42,5,3,0,0,13,
42,6,3,0,0,14,
42,7,2,0,1,14,10.337333
42,8,3,0,1,15,
42,9,2,0,2,15,10.268929
42,10,2,0,3,15,10.769713
42,11,2,0,4,15,10.758575
43,1,3,0,0,9,
43,2,3,0,0,10,
43,3,3,0,0,11,
43,4,3,0,0,12,
43,5,3,0,0,13,
43,6,3,0,0,14,
43,7,3,0,0,15,
43,8,3,0,0,16,
43,9,3,0,0,17,
43,10,3,0,0,18,
43,11,3,0,0,19,
44,1,3,0,0,10,
44,2,2,0,1,10,
44,3,2,0,2,10,10.157024
44,4,2,0,3,10,10.145669
44,5,2,0,4,10,10.119969
44,6,2,0,5,10,
44,7,2,0,6,10,
44,8,3,0,6,11,
44,9,2,0,7,11,
44,10,2,0,8,11,11.023268
44,11,2,0,9,11,
45,1,3,0,0,10,
45,2,3,0,0,11,
45,3,3,0,0,12,
45,4,3,0,0,13,
45,5,3,0,0,14,
45,6,1,1,0,14,8.3282099
45,7,3,1,0,15,
45,8,1,2,0,15,10.071647
45,9,3,2,0,16,
45,10,1,3,0,16,11.132619
45,11,1,4,0,16,11.356412
46,1,3,0,0,11,
46,2,3,0,0,12,
46,3,3,0,0,13,
46,4,3,0,0,14,
46,5,3,0,0,15,
46,6,3,0,0,16,
46,7,1,1,0,16,
46,8,1,2,0,16,11.909847
46,9,1,3,0,16,12.06575
46,10,1,4,0,16,12.105322
46,11,1,5,0,16,12.203262
47,1,3,0,0,10,
47,2,3,0,0,11,
47,3,3,0,0,12,
47,4,3,0,0,13,
47,5,3,0,0,14,
47,6,3,0,0,15,
47,7,3,0,0,16,
47,8,3,0,0,17,
47,9,1,1,0,17,7.2257738
47,10,1,2,0,17,10.482032
47,11,1,3,0,17,11.133268
48,1,3,0,0,10,
48,2,3,0,0,11,
48,3,3,0,0,12,
48,4,3,0,0,13,
48,5,3,0,0,14,
48,6,3,0,0,15,
48,7,1,1,0,15,10.248417
48,8,1,2,0,15,10.788428
48,9,3,2,0,16,
48,10,3,2,0,17,
48,11,3,2,0,18,
49,1,3,0,0,10,
49,2,3,0,0,11,
49,3,2,0,1,11,
49,4,3,0,1,12,
49,5,3,0,1,13,
49,6,3,0,1,14,
