id,t,d,wc_exp,bc_exp,edu,lnwage
65,10,1,3,0,15,11.324748
65,11,1,4,0,15,11.24576
66,1,3,0,0,10,
66,2,3,0,0,11,
66,3,3,0,0,12,
66,4,3,0,0,13,
66,5,3,0,0,14,
66,6,3,0,0,15,
66,7,3,0,0,16,
66,8,3,0,0,17,
66,9,1,1,0,17,11.046257
66,10,1,2,0,17,11.068449
66,11,1,3,0,17,10.973505
67,1,3,0,0,10,
67,2,3,0,0,11,
67,3,2,0,1,11,
67,4,2,0,2,11,9.7515593
67,5,4,0,2,11,
67,6,4,0,2,11,
67,7,2,0,3,11,
67,8,3,0,3,12,
67,9,3,0,3,13,
67,10,2,0,4,13,9.7888842
67,11,1,1,4,13,9.5546026
68,1,3,0,0,10,
68,2,3,0,0,11,
68,3,3,0,0,12,
68,4,3,0,0,13,
68,5,3,0,0,14,
68,6,3,0,0,15,
68,7,2,0,1,15,9.0023317
68,8,1,1,1,15,9.6661816
68,9,1,2,1,15,9.6270752
68,10,1,3,1,15,10.562075
68,11,1,4,1,15,10.622443
69,1,3,0,0,10,
69,2,2,0,1,10,7.001792
69,3,3,0,1,11,
69,4,1,1,1,11,8.5475864
69,5,2,1,2,11,9.7402039
69,6,3,1,2,12,
69,7,3,1,2,13,
69,8,2,1,3,13,10.071647
69,9,2,1,4,13,
69,10,2,1,5,13,
69,11,3,1,5,14,
70,1,3,0,0,10,
70,2,3,0,0,11,
70,3,3,0,0,12,
70,4,3,0,0,13,
70,5,3,0,0,14,
70,6,3,0,0,15,
70,7,1,1,0,15,
70,8,1,2,0,15,10.520164
70,9,1,3,0,15,9.9698372
70,10,1,4,0,15,9.9438858
70,11,1,5,0,15,10.215374
71,1,2,0,1,9,
71,2,2,0,2,9,
71,3,2,0,3,9,
71,4,4,0,3,9,
71,5,4,0,3,9,
71,6,2,0,4,9,10.071647
71,7,2,0,5,9,9.2704
71,8,2,0,6,9,
71,9,2,0,7,9,7.6675324
71,10,2,0,8,9,9.5643721
71,11,4,0,8,9,
72,1,3,0,0,10,
72,2,3,0,0,11,
72,3,3,0,0,12,
72,4,3,0,0,13,
72,5,3,0,0,14,
72,6,1,1,0,14,9.8968258
72,7,1,2,0,14,10.388626
72,8,1,3,0,14,11.602648
72,9,1,4,0,14,11.331823
72,10,1,5,0,14,11.311311
72,11,3,5,0,15,
73,1,3,0,0,9,
73,2,3,0,0,10,
73,3,3,0,0,11,
73,4,3,0,0,12,
73,5,3,0,0,13,
73,6,3,0,0,14,
73,7,3,0,0,15,
73,8,3,0,0,16,
73,9,1,1,0,16,11.01755
